Callisto,0,2,0,0,Callisto | Moon of Jupiter | Solar System,"Callisto is believed to have the most heavily cratered surface in the Solar System. It is also believed to be the oldest undisturbed surface in the Solar System, as Callisto does not have a thick atmosphere or geologic activity. The moon may have a salty ocean under its surface, but life would have to adapt to extreme cold. However, one hypothesis suggests that comets and asteroids delivered the necessary ingredients for life to planets through impacts in their early formation. Studying Callisto's surface could give us a snapshot of what molecules were present in the very early Solar System, billions of years ago.",images/Callisto.jpg,"This is a satellite image, with some color-grading to bring out the features of the moon. "
Ceres,0,1,1,0,"Ceres | Asteroid Belt, Solar System","Ceres could be up to 30% water by mass. When clear images of Ceres were first published with bright spots visible in the craters, some thought they were alien cities. It&apos:s just very reflective salt: possible proof of an ocean underneath. When smaller asteroids strike Ceres, it cracks the surface and allows water to seep through. The liquid evaporates into space, leaving salt deposits behind.",images/Ceres.jpg,"This is a satellite image, with some color-grading to bring out the features of the asteroid."
Enceladus,0,2,2,3,Enceladus | Moon of Saturn | Solar System,"More than a hundred geysers have been discovered on Enceladus, which shoot water, ice, minerals, and other molecules up to hundreds of miles above the surface. Some of it falls back to the surface as thick snow, while some floats away to form Saturn&apos;s fuzzy E Ring. The plumes are similar in composition to comets, which astronomers believe may have brought ice and organic molecules into the inner Solar System.",images/Enceladus.png,"This is a satellite image, with some color-grading to bring out the features of the moon. "
Europa,0,2,2,3,Europa | Moon of Jupiter | Solar System,"Europa is strongly believed to have a megaocean underneath a thick crust of ice, which may be warmed by deep volcanic vents. On Earth, deep hydrothermal vents cycle minerals from the Earth&apos:s crust into the ocean and support biomes of extremophiles. If these conditions existed on Europa, they would be protected from harmful radiation by Europa&apos:s thick ice sheets. Europa is one of the strongest candidates in the Solar System for life. NASA&apos:s Europa Clipper mission, launched in 2024, will reach the moon in 2030, and aims to complete about 50 close flybys to gather more research. As part of their &quot;Message in a Bottle&quot; campaign, a fingernail-sized chip with the names of 2.6 million Earth residents will accompany Europa Clipper on its 1.8 billion mile journey. ",images/Europa.jpg,"This is a satellite image, with some color-grading to bring out the features of the moon. "
Ganymede,0,2,1,3,Ganymede | Moon of Jupiter | Solar System,"Ganymede is big enough to be a planet itself, but is caught it Jupiter's orbit. It is doubly protected by Jupiter's magnetic field and its own, likely generated by convection in its core. Evidence points to a massive ocean beneath a thick ice sheet surface. If Ganymede does have a hot core, the depths of this giant ocean may be warmed by undersea volcanic vents &emdash; similar to biomes found on Earth where extremophiles thrive.",images/Ganymede.jpg,"This is a satellite image, with some color-grading to bring out the features of the moon. "
HD 216520 c,3,1,3,3,HD 216520c | Near Cassiopeia and Andromeda Constellations,"HD 216520c is a Neptune-like planet that orbits slightly closer than its star&apos;s Habitable Zone. Estimates of its radius could be as large as 3x the Earth. Temperature estimates also vary, with several hypotheses for possible atmospheres. Even so, HD 216520 c is still believed to be habitable.  Initially, planets of this size were believed to be mostly gas with no solid surface. New evidence suggests that mini-Neptunes are actually Super-Earth planets with thick, puffy atmospheres. HD 216520c may be revisited for more study in the future.",images/HD216520c.bmp,This image is an artist impression of the exoplanet. 
Io,0,2,0,2,Io | Moon of Jupiter | Solar System,"Io is the most volcanically active body in the Solar System. Jupiter&apos;s closest moon, it is constantly squeezed by strong tidal forces that cause magma to ooze into lakes of lava. These lakes are large enough to glow when viewed from Io&apos; night side. Io may be far too hot and volatile for our understanding of life, but researching its volcanic properties teaches astronomers more about the geophysical forces that shape planets. Volcanism is important for shaping an early planet, cycling metals and minerals from the core that enrich the crust.",images/Io.png,"This is a satellite image, with some color-grading to bring out the features of the moon. "
Kepler 69c,3,0,2,2,Kepler-69c | Cygnus Constellation,"Kepler-69c was once believed to be possible habitable, but is now hypothesized to be a &quot;Super Venus&quot;. It wobbles in and out of its star&apos;s habitable zone, which combined with a thicker atmosphere may contribute to a runaway greenhouse effect. In the search for Earth-like life, studying analogs to inhospitable planets of our Solar System helps piece together the mystery of where planets diverge from potentially habitable to completely hostile. ",images/Kepler69c.jpg,This image is an artist impression of the exoplanet. 
Kepler-62 e,3,0,3,1,Kepler-62e | Lyra Constellation,"Kepler-62e, along with its neighbor 62f, are exciting candidates for habitable worlds. With 62e&apos;s estimated size of 1.6x the Earth, it is more likely to be a mini-Neptune than a super-Earth. Research shows that mini-Neptunes may actually be primordial super-Earths, and comparing 62e with the smaller 62f could show two similar planets that underwent slightly different formation processes. Kepler-62e may have Earth-like thermperatures &emdash; or its thick atmosphere could be trapping heat.",images/Kepler62e.jpg,"This image is an artist impression of the exoplanet."
Kepler-62 f,2,1,2,1,Kepler-62f| Lyra Constellation,"Kepler-62f is a promising candidate for further study. It orbits at a similar distance to Venus, but recieves only as much sunlight as Mars. It is currently thought to be about 1.4x the radius of the Earth, but its mass could vary. If it is a denser planet, this may indicate the presence of a large water ocean.",images/Kepler62f.jpg,"This image is an artist impression of the exoplanet." 
